Fic number,Sentence number,Word,POS,IOB
0,0,#,#,-
0,0,#,#,-
0,0,Preface,NNP,-
0,0,**Something,VBG,-
0,0,to,TO,-
0,0,remember,VB,-
0,0,me,PRP,-
0,0,by**,RB,-
0,0,Posted,VBD,-
0,0,originally,RB,-
0,0,on,IN,-
0,0,the,DT,-
0,0,Archive,NNP,-
0,0,of,IN,-
0,0,Our,PRP$,-
0,0,Own,JJ,-
0,0,at,IN,-
0,0,http,NN,-
0,0,:,:,-
0,0,//archiveofourown.org/works/22220305,NN,-
0,0,.,.,-
0,1,Rating,VBG,-
0,1,:,:,-
0,1,Teen,NN,-
0,1,And,CC,-
0,1,Up,NNP,-
0,1,Audiences,NNP,-
0,1,Archive,NNP,-
0,1,Warning,NNP,-
0,1,:,:,-
0,1,No,DT,-
0,1,Archive,NNP,-
0,1,Warnings,NNP,-
0,1,Apply,NNP,-
0,1,Category,NNP,-
0,1,:,:,-
0,1,F/M,NNP,-
0,1,",",",",-
0,1,M/M,NNP,-
0,1,",",",",-
0,1,Multi,NNP,-
0,1,",",",",-
0,1,Other,JJ,-
0,1,Fandom,NN,-
0,1,:,:,-
0,1,Good,JJ,-
0,1,Omens,NNP,-
0,1,-,:,-
0,1,Neil,NNP,-
0,1,Gaiman,NNP,-
0,1,&,CC,-
0,1,Terry,NNP,-
0,1,Pratchett,NNP,-
0,1,",",",",-
0,1,Good,NNP,-
0,1,Omens,NNP,-
0,1,(,(,-
0,1,TV,NN,-
0,1,),),-
0,1,Relationship,NN,-
0,1,:,:,-
0,1,Aziraphale/Crowley,NNP,-
0,1,(,(,-
0,1,Good,NNP,-
0,1,Omens,NNP,-
0,1,),),-
0,1,",",",",-
0,1,Beelzebub/Gabriel,NNP,-
0,1,(,(,-
0,1,Good,NNP,-
0,1,Omens,NNP,-
0,1,),),-
0,1,",",",",-
0,1,Beelzebub/Dagon,NNP,-
0,1,(,(,-
0,1,Good,NNP,-
0,1,Omens,NNP,-
0,1,),),-
0,1,Character,NN,-
0,1,:,:,-
0,1,Aziraphale,NNP,-
0,1,(,(,-
0,1,Good,NNP,-
0,1,Omens,NNP,-
0,1,),),-
0,1,",",",",-
0,1,Crowley,NNP,-
0,1,(,(,-
0,1,Good,NNP,-
0,1,Omens,NNP,-
0,1,),),-
0,1,",",",",-
0,1,Beelzebub,NNP,-
0,1,(,(,-
0,1,Good,NNP,-
0,1,Omens,NNP,-
0,1,),),-
0,1,",",",",-
0,1,Gabriel,NNP,-
0,1,(,(,-
0,1,Good,NNP,-
0,1,Omens,NNP,-
0,1,),),-
0,1,",",",",-
0,1,Michael,NNP,-
0,1,(,(,-
0,1,Good,NNP,-
