Fic number,Character name,Times mentioned
0,Beelzebub,21
0,Dagon,10
Fic number,Character name,Times mentioned
0,Beelzebub,21
0,Dagon,10
0,‘,20
0,",",28
0,Crowley,57
0,s,42
0,Hell,5
0,Lucifer,4
0,Downstairs,1
0,Gabe,1
0,drop,1
0,Couldn,2
0,t,20
0,Gabriel,29
0,Dunno,2
0,Angel,2
0,Alright,1
0,Just,3
0,Okay,1
0,Don,9
0,Candy,1
0,for,1
0,Aziraphale,47
0,Quite,1
0,Tennyson,1
0,that,1
0,Mind,1
0,Darling,4
0,Tennysons.,1
0,I,6
0,Tennyson.,3
0,You,5
0,Earth.,1
0,couldn,1
0,Asmodeous,1
0,Surprizzze,1
0,’,33
0,Yeah,3
0,murmured,1
0,Jury,1
0,Asmodeus,1
0,Baal,1
0,Marax,1
0,Astaroth,1
0,Murmur,1
0,Fuck,1
0,St,1
0,at,1
0,Oh,15
0,Bookshop,1
0,Maybe,2
0,pointed,1
0,drawled,1
0,Airaphale,1
0,Well,2
0,moved,2
0,said,14
0,Crowley.,3
0,Byron,1
0,Tenny,1
0,as,1
0,Screw,1
0,Shouldn,1
0,Michael,13
0,Heaven,1
0,Shut,1
0,Bee.,2
0,She,5
0,Um,3
0,_It,1
0,Why,1
0,Come,1
0,God,7
0,smiled,2
0,Mhm,1
0,Remember,1
0,Mmm.,1
0,Shepard,1
0,Gluttony,1
0,Ian,1
0,Shush.,1
0,found,1
0,Hmm.,2
0,didn,1
0,Ah,1
0,Bee,2
0,Gabe.,3
0,He,4
0,No,1
0,Pub.,2
0,the,1
0,Spread.,1
0,Some,1
0,Drink,2
0,Five.,1
0,Cheers.,2
0,Ain,1
0,but,1
0,Must,1
0,Devil,1
0,Penny,1
0,was,1
0,Nostalgic,1
0,nodded,1
0,just,1
0,spots.,1
0,chuckled,1
0,angel.,1
0,no,1
0,did,1
0,sighed,2
0,Perfection.,1
0,drew,1
0,Neither,1
0,nor,1
0,Before.,2
0,could,1
0,Hell.,1
0,Isn,2
0,Mine,2
0,_,2
0,wasn,1
0,Lord,5
0,and,2
0,you,1
0,Was,1
0,though.,3
0,.,5
0,Peliel,1
0,Virtues,1
0,Archangel.,1
0,Hi,1
0,Horrible,1
0,rolled,1
0,anyway.,1
0,looked,1
0,Mmm,1
0,Oscar,1
0,Hello,2
0,dear.,1
0,Yes,1
0,everything.,1
0,worries,1
0,Earl,1
0,Madame,1
0,would,1
0,Name,1
0,Reggie,1
0,Let,1
0,Upstairs,1
0,Gertrude,1
0,Sold.,1
0,Patrick,1
0,Myeah,1
0,Pub,1
0,Up.,1
0,Thanks.,1
0,Michael.,1
0,frowned,1
0,Problem,1
0,Helen,1
0,Aren,2
0,First,1
0,Nhhh.,1
0,Nhhhhn,1
0,Satan,3
0,Murphy,2
0,Raphael,11
0,Jophiel,7
0,spoke,1
0,?,2
0,Behave,1
0,Chamuel,1
0,Insurance.,2
0,This,1
0,Be,1
0,Go,1
0,urged,1
0,Raph,1
0,Zaphiel,2
0,Seraphiel,2
0,replied,1
0,Pravie.,2
0,They,1
0,Pravuil,3
0,asked,1
0,scoffed,1
0,Master.,1
0,s…um…dangerous,1
0,Listen,2
0,backpedalled,1
0,commented,1
0,Zephiel,1
0,_Their,1
0,Sorry,1
0,Vretiel,1
0,Eric,6
0,Hey,2
0,Shawrma,1
0,properly.,1
0,Hastur,1
0,Holy,1
0,Am,1
0,Zzzo,1
0,Archangel,1
0,really.,1
0,Guess,1
0,Raphael.,1
0,And,1
0,Archives.,1
0,what,1
0,Can,1
0,Wha,1
0,started,1
Fic number,Character name,Times mentioned
0,was,19
0,continued,1
0,-,1
0,",",50
0,s,27
0,held,1
0,told,2
0,drop,1
0,t,12
0,did,5
0,.,6
0,the,3
0,threw,1
0,for,2
0,literally,1
0,that,1
0,turned,2
0,took,2
0,by,1
0,I,5
0,You,4
0,couldn,2
0,’,18
0,murmured,1
0,had,19
0,and,4
0,always,1
0,drew,2
0,blasted,1
0,at,1
0,sighed,2
0,yes,1
0,locked,1
0,commented,1
0,mumbled,1
0,deemed,2
0,fought,1
0,very,1
0,think,1
0,pointed,2
0,drawled,1
0,enjoy,1
0,all,1
0,waved,1
0,moved,1
0,said,9
0,let,2
0,wiggled,1
0,cleared,1
0,thought,3
0,as,1
0,snorted,1
0,seemed,2
0,up,3
0,is,1
0,felt,2
0,She,4
0,completely,1
0,–,1
0,wanted,4
0,could,2
0,Why,1
0,closed,1
0,pushed,1
0,on,1
0,got,1
0,simply,1
0,knew,2
0,also,1
0,smiled,2
0,stopped,1
0,asked,2
0,beamed,1
0,rolled,2
0,this,2
0,nodded,3
0,enjoyed,1
0,intoned,1
0,found,1
0,didn,1
0,He,3
0,Some,1
0,came,1
0,entered,1
0,sat,1
0,started,1
0,‘,6
0,but,1
0,say,1
0,though,1
0,leaned,1
0,realised,1
0,?,5
0,just,1
0,exclaimed,1
0,chuckled,2
0,no,1
0,cupped,1
0,apparently,1
0,swallowed,1
0,nor,1
0,shot,1
0,wasn,1
0,spoke,1
0,you,1
0,left,1
0,laughed,2
0,were,1
0,week,1
0,looked,3
0,drank,1
0,answered,1
0,would,4
0,gave,1
0,worries,1
0,refrained,1
0,shouted,1
0,glanced,1
0,who,1
0,frowned,1
0,Beelzebub,10
0,Gabriel,16
0,Problem,1
0,Helen,1
0,Hell,2
0,Crowley,1
0,Maybe,1
