Fic number,Sentence number,Word,POS,IOB
0,0,Beelzebub,NNP,
0,0,was,VBD,
0,0,sprawled,VBN,
0,0,on,IN,
0,0,a,DT,
0,0,bench,NN,
0,0,in,IN,
0,0,St,NNP,
0,0,James,NNP,
0,0,and,CC,
0,0,was,VBD,
0,0,staring,VBG,
0,0,absentmindedly,RB,
0,0,at,IN,
0,0,the,DT,
0,0,lake,NN,
0,0,.,.,
0,1,Every,DT,
0,1,now,RB,
0,1,and,CC,
0,1,then,RB,
0,1,she,PRP,
0,1,’,VBD,
0,1,d,JJ,
0,1,try,NN,
0,1,skipping,VBG,
0,1,stones,NNS,
0,1,across,IN,
0,1,it,PRP,
0,1,.,.,
0,2,More,JJR,
0,2,than,IN,
0,2,half,NN,
0,2,of,IN,
0,2,those,DT,
0,2,times,NNS,
0,2,she,PRP,
0,2,managed,VBD,
0,2,to,TO,
0,2,hit,VB,
0,2,a,DT,
0,2,duck,NN,
0,2,.,.,
0,3,_Maybe,RB,
0,3,that,DT,
0,3,was,VBD,
0,3,the,DT,
0,3,plan,NN,
0,3,all,DT,
0,3,along._,VBP,
0,3,The,DT,
0,3,ducks,NNS,
0,3,in,IN,
0,3,question,NN,
0,3,",",",",
0,3,being,VBG,
0,3,by,IN,
0,3,now,RB,
0,3,very,RB,
0,3,accustomed,JJ,
0,3,to,TO,
0,3,demonic,JJ,
0,3,energy,NN,
0,3,",",",",
0,3,took,VBD,
0,3,a,DT,
0,3,longer,JJR,
0,3,time,NN,
0,3,than,IN,
0,3,necessary,JJ,
0,3,to,TO,
0,3,actually,RB,
0,3,swim,VB,
0,3,away,RP,
0,3,.,.,
0,4,Usually,RB,
0,4,there,EX,
0,4,would,MD,
0,4,be,VB,
0,4,bread,VBN,
0,4,and,CC,
0,4,not,RB,
0,4,pebbles,NNS,
0,4,thrown,VBN,
0,4,at,IN,
0,4,them,PRP,
0,4,.,.,
0,5,Of,IN,
0,5,course,NN,
0,5,",",",",
0,5,they,PRP,
0,5,would,MD,
0,5,be,VB,
0,5,ducked,VBN,
0,5,–,JJ,
0,5,_hah_,NNP,
0,5,–,NNP,
0,5,under,IN,
0,5,every,DT,
0,5,now,RB,
0,5,and,CC,
0,5,again,RB,
0,5,but,CC,
0,5,if,IN,
0,5,that,DT,
0,5,meant,VBD,
0,5,getting,VBG,
0,5,all,DT,
0,5,of,IN,
0,5,that,DT,
0,5,free,JJ,
0,5,bread,NN,
0,5,they,PRP,
0,5,were,VBD,
0,5,up,RB,
0,5,for,IN,
0,5,it,PRP,
0,5,.,.,
0,6,The,DT,
0,6,pebbles,NNS,
0,6,though,IN,
0,6,",",",",
0,6,they,PRP,
0,6,didn,VBP,
0,6,’,JJ,
0,6,t,NN,
0,6,care,NN,
0,6,for,IN,
0,6,them,PRP,
0,6,that,DT,
0,6,much,RB,
0,6,.,.,
0,7,Beelzebub,NNP,
0,7,continued,VBD,
0,7,to,TO,
0,7,stare,VB,
0,7,at,IN,
0,7,the,DT,
0,7,lake,NN,
0,7,long,RB,
0,7,after,IN,
0,7,the,DT,
0,7,last,JJ,
0,7,of,IN,
0,7,the,DT,
0,7,ducks,NNS,
0,7,was,VBD,
0,7,gone,VBN,
0,7,.,.,
0,8,She,PRP,
0,8,had,VBD,
0,8,failed,VBN,
0,8,.,.,
0,9,Everything,VBG,
0,9,that,IN,
0,9,they,PRP,
0,9,had,VBD,
0,9,been,VBN,
0,9,preparing,VBG,
0,9,for,IN,
0,9,for,IN,
0,9,millennia,NN,
0,9,now,RB,
0,9,had,VBD,
0,9,all,DT,
0,9,been,VBN,
0,9,for,IN,
0,9,nothing,NN,
0,9,.,.,
0,10,She,PRP,
0,10,felt,VBD,
0,10,useless,JJ,
0,10,.,.,
0,11,Powerless,NN,
0,11,.,.,
0,12,_A,JJ,
0,12,joke_,NN,
0,12,.,.,
0,13,And,CC,
0,13,it,PRP,
0,13,wasn,VBD,
0,13,’,NNP,
0,13,t,NN,
0,13,as,IN,
0,13,if,IN,
0,13,she,PRP,
0,13,was,VBD,
0,13,the,DT,
0,13,only,JJ,
0,13,one,NN,
0,13,who,WP,
0,13,saw,VBD,
0,13,herself,PRP,
0,13,that,DT,
0,13,way,NN,
0,13,.,.,
0,14,She,PRP,
0,14,could,MD,
0,14,hear,VB,
0,14,the,DT,
0,14,whispers,NNS,
0,14,and,CC,
0,14,the,DT,
0,14,comments,NNS,
0,14,around,IN,
0,14,every,DT,
0,14,corner,NN,
0,14,back,RB,
0,14,Downstairs,NNP,
0,14,.,.,
0,15,She,PRP,
0,15,was,VBD,
0,15,being,VBG,
0,15,judged,VBN,
0,15,.,.,
0,16,And,CC,
0,16,quite,RB,
0,16,harshly,RB,
0,16,.,.,
0,17,So,RB,
0,17,much,RB,
0,17,so,IN,
0,17,that,IN,
0,17,she,PRP,
0,17,preferred,VBD,
0,17,staying,VBG,
0,17,up,RP,
0,17,on,IN,
0,17,Earth,NN,
0,17,for,IN,
0,17,the,DT,
0,17,moment,NN,
0,17,.,.,
0,18,She,PRP,
0,18,had,VBD,
0,18,a,DT,
0,18,really,RB,
0,18,bad,JJ,
0,18,feeling,VBG,
0,18,about,IN,
0,18,something,NN,
0,18,brewing,NN,
0,18,just,RB,
0,18,under,IN,
0,18,the,DT,
0,18,surface,NN,
0,18,and,CC,
0,18,–,VB,
0,18,even,RB,
0,18,if,IN,
0,18,something,NN,
0,18,bad,JJ,
0,18,brewing,NN,
0,18,under,IN,
0,18,the,DT,
0,18,surface,NN,
0,18,was,VBD,
0,18,something,NN,
0,18,she,PRP,
0,18,should,MD,
0,18,be,VB,
0,18,happy,JJ,
0,18,about,IN,
0,18,–,NN,
0,18,she,PRP,
0,18,found,VBD,
0,18,herself,PRP,
0,18,rather,RB,
0,18,scared,VBD,
0,18,.,.,
0,19,Dagon,NNP,
0,19,was,VBD,
0,19,the,DT,
0,19,only,JJ,
0,19,one,CD,
0,19,of,IN,
0,19,the,DT,
0,19,lot,NN,
0,19,that,IN,
0,19,she,PRP,
0,19,could,MD,
0,19,trust,VB,
0,19,.,.,
0,20,And,CC,
0,20,even,RB,
0,20,Dagon,NNP,
0,20,-,:,
0,20,on,IN,
0,20,the,DT,
0,20,few,JJ,
0,20,occasions,NNS,
0,20,when,WRB,
0,20,they,PRP,
0,20,got,VBD,
0,20,to,TO,
0,20,communicate,VB,
0,20,-,:,
0,20,instructed,VBN,
0,20,her,PRP$,
0,20,to,TO,
0,20,keep,VB,
0,20,well,RB,
0,20,away,RB,
0,20,for,IN,
0,20,the,DT,
0,20,moment,NN,
0,20,.,.,
0,21,So,IN,
0,21,she,PRP,
0,21,got,VBD,
0,21,a,DT,
0,21,flat,JJ,
0,21,in,IN,
0,21,London,NNP,
0,21,instead,RB,
0,21,.,.,
0,22,Not,RB,
0,22,that,IN,
0,22,it,PRP,
0,22,much,RB,
0,22,mattered,VBD,
0,22,anymore,RB,
0,22,",",",",
0,22,but,CC,
0,22,she,PRP,
0,22,did,VBD,
0,22,some,DT,
0,22,research,NN,
0,22,about,IN,
0,22,which,WDT,
0,22,particular,JJ,
0,22,area,NN,
0,22,would,MD,
0,22,look,VB,
0,22,more,JJR,
0,22,demonic,JJ,
0,22,.,.,
0,23,So,IN,
0,23,she,PRP,
0,23,settled,VBD,
0,23,for,IN,
0,23,Whitechapel,NNP,
0,23,.,.,
0,24,_Nothing,VBG,
0,24,screams,NNS,
0,24,more,RBR,
0,24,Hellish,JJ,
0,24,like,IN,
0,24,the,DT,
0,24,infamy,NN,
0,24,of,IN,
0,24,a,DT,
0,24,serial,JJ,
0,24,killer_,NN,
0,24,",",",",
0,24,she,PRP,
0,24,thought,VBD,
0,24,.,.,
0,25,It,PRP,
0,25,was,VBD,
0,25,on,IN,
0,25,a,DT,
0,25,small,JJ,
0,25,and,CC,
0,25,dark,JJ,
0,25,alley,NN,
0,25,and,CC,
0,25,it,PRP,
0,25,was,VBD,
0,25,a,DT,
0,25,rental,JJ,
0,25,with,IN,
0,25,a,DT,
0,25,very,RB,
0,25,shitty,JJ,
0,25,lease,NN,
0,25,.,.,
0,26,And,CC,
0,26,it,PRP,
0,26,was,VBD,
0,26,the,DT,
0,26,basement,NN,
0,26,",",",",
0,26,of,IN,
0,26,course,NN,
0,26,.,.,
0,27,But,CC,
0,27,it,PRP,
0,27,still,RB,
0,27,seemed,VBD,
0,27,altogether,RB,
0,27,human,JJ,
0,27,.,.,
0,28,_Too,RB,
0,28,much,JJ,
0,28,so_,NN,
0,28,.,.,
0,29,The,DT,
0,29,people,NNS,
0,29,upstairs,VBP,
0,29,–,MD,
0,29,not,RB,
0,29,_Upstairs_,VB,
0,29,upstairs,JJ,
0,29,–,NN,
0,29,just,RB,
0,29,the,DT,
0,29,other,JJ,
0,29,tenants,NNS,
0,29,of,IN,
0,29,the,DT,
0,29,house,NN,
0,29,had,VBD,
0,29,tried,VBN,
0,29,being,VBG,
0,29,friendly,JJ,
0,29,and,CC,
0,29,inviting,VBG,
0,29,her,PRP$,
0,29,over,NN,
0,29,for,IN,
0,29,supper,NN,
0,29,.,.,
0,30,She,PRP,
0,30,had,VBD,
0,30,snapped,VBN,
0,30,at,IN,
0,30,them,PRP,
0,30,and,CC,
0,30,told,VBD,
0,30,them,PRP,
0,30,she,PRP,
0,30,was,VBD,
0,30,a,DT,
0,30,literal,JJ,
0,30,demon,NN,
0,30,and,CC,
0,30,that,IN,
0,30,she,PRP,
0,30,would,MD,
0,30,be,VB,
0,30,better,JJR,
0,30,left,VBN,
0,30,alone,RB,
0,30,.,.,
0,31,She,PRP,
0,31,got,VBD,
0,31,a,DT,
0,31,cheerful,JJ,
0,31,laugh,NN,
0,31,out,IN,
0,31,of,IN,
0,31,that,DT,
0,31,and,CC,
0,31,a,DT,
0,31,very,RB,
0,31,giggly,RB,
0,31,_,JJ,
0,31,‘,NNP,
0,31,Oh,NNP,
0,31,",",",",
0,31,you,PRP,
0,31,’,VBP,
0,31,_,NNS,
0,31,.,.,
0,32,_Ha,NN,
0,32,.,.,
0,33,Bloody,NN,
0,33,.,.,
0,34,Ha._,NNP,
0,34,She,PRP,
0,34,couldn,VBD,
0,34,’,NNP,
0,34,t,VBD,
0,34,even,RB,
0,34,properly,RB,
0,34,terrify,VB,
0,34,meek,JJ,
0,34,mortals,NNS,
0,34,now,RB,
0,34,.,.,
0,35,Fucking,VBG,
0,35,great,JJ,
0,35,.,.,
0,36,_What,IN,
0,36,a,DT,
0,36,time,NN,
0,36,to,TO,
0,36,be,VB,
0,36,alive_,RB,
0,36,.,.,
0,37,She,PRP,
0,37,wanted,VBD,
0,37,to,TO,
0,37,rip,VB,
0,37,Crowley,NNP,
0,37,’,NNP,
0,37,s,VBD,
0,37,head,NN,
0,37,off,IN,
0,37,.,.,
0,38,It,PRP,
0,38,was,VBD,
0,38,all,DT,
0,38,his,PRP$,
0,38,fault,NN,
0,38,.,.,
0,39,She,PRP,
0,39,also,RB,
0,39,wanted,VBD,
0,39,to,TO,
0,39,actually,RB,
0,39,be,VB,
0,39,able,JJ,
0,39,to,TO,
0,39,ask,VB,
0,39,Crowley,NNP,
0,39,how,WRB,
0,39,in,IN,
0,39,Satan,NNP,
0,39,’,NNP,
0,39,s,VBD,
0,39,name,NN,
0,39,was,VBD,
0,39,he,PRP,
0,39,able,JJ,
0,39,to,TO,
0,39,manage,VB,
0,39,it,PRP,
0,39,.,.,
0,40,All,PDT,
0,40,those,DT,
0,40,centuries,NNS,
0,40,.,.,
0,41,Alone,RB,
0,41,up,RB,
0,41,here,RB,
0,41,.,.,
0,42,She,PRP,
0,42,felt,VBD,
0,42,like,IN,
0,42,she,PRP,
0,42,was,VBD,
0,42,running,VBG,
0,42,mad,NN,
0,42,.,.,
0,43,Not,RB,
0,43,that,DT,
0,43,Hell,NNP,
0,43,was,VBD,
0,43,much,RB,
0,43,better,JJR,
0,43,.,.,
0,44,_It,NN,
0,44,was,VBD,
0,44,Hell,NNP,
0,44,after,IN,
0,44,all_,NN,
0,44,.,.,
0,45,But,CC,
0,45,at,IN,
0,45,least,JJS,
0,45,it,PRP,
0,45,was,VBD,
0,45,something,NN,
0,45,she,PRP,
0,45,had,VBD,
0,45,known,VBN,
0,45,for,IN,
0,45,thousands,NNS,
0,45,of,IN,
0,45,years,NNS,
0,45,.,.,
0,46,_It,NN,
0,46,was,VBD,
0,46,familiar_,VBN,
0,46,.,.,
0,47,But,CC,
0,47,most,JJS,
0,47,of,IN,
0,47,all,DT,
0,47,",",",",
0,47,she,PRP,
0,47,wanted,VBD,
0,47,that,IN,
0,47,son,NN,
0,47,of,IN,
0,47,a,DT,
0,47,bitch,NN,
0,47,Lucifer,NNP,
0,47,to,TO,
0,47,snap,VB,
0,47,out,IN,
0,47,of,IN,
0,47,his,PRP$,
0,47,sulk,NN,
0,47,and,CC,
0,47,actually,RB,
0,47,take,VB,
0,47,her,PRP$,
0,47,side,NN,
0,47,in,IN,
0,47,front,NN,
0,47,of,IN,
0,47,all,PDT,
0,47,those,DT,
0,47,useless,JJ,
0,47,minions,NNS,
0,47,.,.,
0,48,They,PRP,
0,48,would,MD,
0,48,be,VB,
0,48,on,IN,
0,48,the,DT,
0,48,verge,NN,
0,48,of,IN,
0,48,a,DT,
0,48,bloody,JJ,
0,48,revolution,NN,
0,48,if,IN,
0,48,he,PRP,
0,48,didn,VBZ,
0,48,’,CC,
0,48,t,JJ,
0,48,get,VB,
0,48,his,PRP$,
0,48,shit,NN,
0,48,together,RB,
0,48,.,.,
0,49,It,PRP,
0,49,had,VBD,
0,49,been,VBN,
0,49,them,PRP,
0,49,two,CD,
0,49,from,IN,
0,49,the,DT,
0,49,very,RB,
0,49,beginning,NN,
0,49,.,.,
0,50,They,PRP,
0,50,were,VBD,
0,50,the,DT,
0,50,very,RB,
0,50,first,JJ,
0,50,two,CD,
0,50,.,.,
0,51,And,CC,
0,51,it,PRP,
0,51,had,VBD,
0,51,been,VBN,
0,51,gut-wrenching,JJ,
0,51,and,CC,
0,51,miserable,JJ,
0,51,and,CC,
0,51,it,PRP,
0,51,had,VBD,
0,51,hurt,VBN,
0,51,.,.,
0,52,And,CC,
0,52,they,PRP,
0,52,had,VBD,
0,52,held,VBN,
0,52,each,DT,
0,52,other,JJ,
0,52,and,CC,
0,52,sobbed,VBN,
0,52,as,IN,
0,52,their,PRP$,
0,52,wings,NNS,
0,52,burned,VBN,
0,52,to,TO,
0,52,ashes,NNS,
0,52,.,.,
0,53,Then,RB,
0,53,it,PRP,
0,53,had,VBD,
