Validation_Set,Topics,Alpha,Beta,Coherence
75% dataset,2,0.01,0.01,0.2497768711545535
75% dataset,2,0.01,0.31,0.24708033363504348
75% dataset,2,0.01,0.61,0.246120979980523
75% dataset,2,0.01,0.9099999999999999,0.24685798318204438
75% dataset,2,0.01,symmetric,0.24975870718393695
75% dataset,2,0.31,0.01,0.24592663737385956
75% dataset,2,0.31,0.31,0.24732782830993624
75% dataset,2,0.31,0.61,0.24873760107359524
75% dataset,2,0.31,0.9099999999999999,0.25217934612059656
75% dataset,2,0.31,symmetric,0.2562604230192794
75% dataset,2,0.61,0.01,0.24345894871780954
75% dataset,2,0.61,0.31,0.24620586555387097
75% dataset,2,0.61,0.61,0.25107425043698506
75% dataset,2,0.61,0.9099999999999999,0.24873760107359524
75% dataset,2,0.61,symmetric,0.24708033363504348
75% dataset,2,0.9099999999999999,0.01,0.2448934706169056
75% dataset,2,0.9099999999999999,0.31,0.24700206684971918
75% dataset,2,0.9099999999999999,0.61,0.246828339770031
75% dataset,2,0.9099999999999999,0.9099999999999999,0.2383461358447399
75% dataset,2,0.9099999999999999,symmetric,0.2468579831820444
75% dataset,2,symmetric,0.01,0.24422919017337064
75% dataset,2,symmetric,0.31,0.2497838843778966
75% dataset,2,symmetric,0.61,0.24675165787018027
75% dataset,2,symmetric,0.9099999999999999,0.24780089570319208
75% dataset,2,symmetric,symmetric,0.24602745969255146
75% dataset,2,asymmetric,0.01,0.24410865945422677
75% dataset,2,asymmetric,0.31,0.24803629614403522
75% dataset,2,asymmetric,0.61,0.24770355059779395
75% dataset,2,asymmetric,0.9099999999999999,0.2461209799805229
75% dataset,2,asymmetric,symmetric,0.246120979980523
75% dataset,3,0.01,0.01,0.24653199651624122
75% dataset,3,0.01,0.31,0.2432382854361749
75% dataset,3,0.01,0.61,0.2473111987423476
75% dataset,3,0.01,0.9099999999999999,0.24167917849473267
75% dataset,3,0.01,symmetric,0.24557007636098227
75% dataset,3,0.31,0.01,0.24111668132578648
75% dataset,3,0.31,0.31,0.23878381058217535
75% dataset,3,0.31,0.61,0.24154439636081496
75% dataset,3,0.31,0.9099999999999999,0.2660070190155775
75% dataset,3,0.31,symmetric,0.2442484201225975
75% dataset,3,0.61,0.01,0.24131035800883519
75% dataset,3,0.61,0.31,0.2425378294517535
75% dataset,3,0.61,0.61,0.24345893018777795
75% dataset,3,0.61,0.9099999999999999,0.2507960274390717
75% dataset,3,0.61,symmetric,0.24656826873351698
75% dataset,3,0.9099999999999999,0.01,0.24908096034891747
75% dataset,3,0.9099999999999999,0.31,0.24687954847490887
75% dataset,3,0.9099999999999999,0.61,0.24334124522840803
75% dataset,3,0.9099999999999999,0.9099999999999999,0.3556679489494932
75% dataset,3,0.9099999999999999,symmetric,0.2508541346283578
75% dataset,3,symmetric,0.01,0.2438133636817227
75% dataset,3,symmetric,0.31,0.2429355515211967
75% dataset,3,symmetric,0.61,0.24302783692029653
75% dataset,3,symmetric,0.9099999999999999,0.31605386783647965
75% dataset,3,symmetric,symmetric,0.24530742338975112
75% dataset,3,asymmetric,0.01,0.2482187999249974
75% dataset,3,asymmetric,0.31,0.23436693224656446
75% dataset,3,asymmetric,0.61,0.24987133406504633
75% dataset,3,asymmetric,0.9099999999999999,0.3080683585453811
75% dataset,3,asymmetric,symmetric,0.24823807727079408
75% dataset,4,0.01,0.01,0.25194883496657694
75% dataset,4,0.01,0.31,0.2505816990021563
75% dataset,4,0.01,0.61,0.24069572961545618
75% dataset,4,0.01,0.9099999999999999,0.2565131520107317
75% dataset,4,0.01,symmetric,0.24640780143908092
75% dataset,4,0.31,0.01,0.24606068874663162
75% dataset,4,0.31,0.31,0.24371535164300057
75% dataset,4,0.31,0.61,0.27693097213500584
75% dataset,4,0.31,0.9099999999999999,0.2996067577034471
75% dataset,4,0.31,symmetric,0.2457133143291796
75% dataset,4,0.61,0.01,0.2391198553904533
75% dataset,4,0.61,0.31,0.2457639884595569
75% dataset,4,0.61,0.61,0.25107267062090344
75% dataset,4,0.61,0.9099999999999999,0.2740957223381203
75% dataset,4,0.61,symmetric,0.24566949692872309
75% dataset,4,0.9099999999999999,0.01,0.2434962066109258
75% dataset,4,0.9099999999999999,0.31,0.23653310196545327
75% dataset,4,0.9099999999999999,0.61,0.2591525346928078
75% dataset,4,0.9099999999999999,0.9099999999999999,0.29097463087817016
75% dataset,4,0.9099999999999999,symmetric,0.24993640022375999
75% dataset,4,symmetric,0.01,0.24548134154812684
75% dataset,4,symmetric,0.31,0.24833673754426971
75% dataset,4,symmetric,0.61,0.3076910521452252
75% dataset,4,symmetric,0.9099999999999999,0.2564531885047574
75% dataset,4,symmetric,symmetric,0.23739862114716143
75% dataset,4,asymmetric,0.01,0.24273758714185034
75% dataset,4,asymmetric,0.31,0.24393019773629443
75% dataset,4,asymmetric,0.61,0.244585682836875
75% dataset,4,asymmetric,0.9099999999999999,0.31110380597850895
75% dataset,4,asymmetric,symmetric,0.23851895447764798
75% dataset,5,0.01,0.01,0.24754239991085264
75% dataset,5,0.01,0.31,0.251348426297624
75% dataset,5,0.01,0.61,0.2406537792366404
75% dataset,5,0.01,0.9099999999999999,0.30160810300219704
75% dataset,5,0.01,symmetric,0.24432041505708205
75% dataset,5,0.31,0.01,0.2462481337151142
75% dataset,5,0.31,0.31,0.23963817511690402
75% dataset,5,0.31,0.61,0.26183588606615066
75% dataset,5,0.31,0.9099999999999999,0.32309761502827566
75% dataset,5,0.31,symmetric,0.25102965374117536
75% dataset,5,0.61,0.01,0.23755139247681392
75% dataset,5,0.61,0.31,0.25805168273704215
75% dataset,5,0.61,0.61,0.3909917355458305
75% dataset,5,0.61,0.9099999999999999,0.3346261986883496
75% dataset,5,0.61,symmetric,0.24229207698228036
75% dataset,5,0.9099999999999999,0.01,0.24773706913887952
75% dataset,5,0.9099999999999999,0.31,0.24192151811179863
75% dataset,5,0.9099999999999999,0.61,0.26051317544773095
75% dataset,5,0.9099999999999999,0.9099999999999999,0.30499117166967
75% dataset,5,0.9099999999999999,symmetric,0.24893546012901116
75% dataset,5,symmetric,0.01,0.24405276950961138
75% dataset,5,symmetric,0.31,0.254189163314838
75% dataset,5,symmetric,0.61,0.2910299228890881
75% dataset,5,symmetric,0.9099999999999999,0.2776014164406887
75% dataset,5,symmetric,symmetric,0.24680537901928776
75% dataset,5,asymmetric,0.01,0.2505516321908148
75% dataset,5,asymmetric,0.31,0.23595873540458417
75% dataset,5,asymmetric,0.61,0.3137179622945042
75% dataset,5,asymmetric,0.9099999999999999,0.36052512345107024
75% dataset,5,asymmetric,symmetric,0.23665414473916796
75% dataset,6,0.01,0.01,0.23562190994711255
75% dataset,6,0.01,0.31,0.2704453558860824
75% dataset,6,0.01,0.61,0.2908929285466944
75% dataset,6,0.01,0.9099999999999999,0.37480818747058997
75% dataset,6,0.01,symmetric,0.25136861680123757
75% dataset,6,0.31,0.01,0.2422635047422886
75% dataset,6,0.31,0.31,0.24130207349875277
75% dataset,6,0.31,0.61,0.3253908068882744
75% dataset,6,0.31,0.9099999999999999,0.2725006301750608
75% dataset,6,0.31,symmetric,0.2403824399638104
75% dataset,6,0.61,0.01,0.24060316447764538
75% dataset,6,0.61,0.31,0.24986506514208873
75% dataset,6,0.61,0.61,0.26982462881651964
75% dataset,6,0.61,0.9099999999999999,0.260758838922242
75% dataset,6,0.61,symmetric,0.24507766059769362
75% dataset,6,0.9099999999999999,0.01,0.24360897821434266
75% dataset,6,0.9099999999999999,0.31,0.24279533426273847
75% dataset,6,0.9099999999999999,0.61,0.3016161984471489
75% dataset,6,0.9099999999999999,0.9099999999999999,0.26844407067369136
75% dataset,6,0.9099999999999999,symmetric,0.2494125300041288
75% dataset,6,symmetric,0.01,0.2556240092981635
75% dataset,6,symmetric,0.31,0.2396335925385238
75% dataset,6,symmetric,0.61,0.3021191288127392
75% dataset,6,symmetric,0.9099999999999999,0.2945852934842972
75% dataset,6,symmetric,symmetric,0.24197468195228153
75% dataset,6,asymmetric,0.01,0.2455550265543067
75% dataset,6,asymmetric,0.31,0.2690510619050482
75% dataset,6,asymmetric,0.61,0.26610210572796306
75% dataset,6,asymmetric,0.9099999999999999,0.2883741055147127
75% dataset,6,asymmetric,symmetric,0.23540293203660212
75% dataset,7,0.01,0.01,0.2425070998843432
75% dataset,7,0.01,0.31,0.2608503274212604
75% dataset,7,0.01,0.61,0.32798505228353436
75% dataset,7,0.01,0.9099999999999999,0.34531410355823794
75% dataset,7,0.01,symmetric,0.24622452034198844
75% dataset,7,0.31,0.01,0.24663675811293398
75% dataset,7,0.31,0.31,0.25831586440214827
75% dataset,7,0.31,0.61,0.28493579653366496
75% dataset,7,0.31,0.9099999999999999,0.30685602517379074
75% dataset,7,0.31,symmetric,0.26715961500448354
75% dataset,7,0.61,0.01,0.2474489285051033
75% dataset,7,0.61,0.31,0.3065728723830995
75% dataset,7,0.61,0.61,0.2992536340085961
75% dataset,7,0.61,0.9099999999999999,0.2543443520456812
75% dataset,7,0.61,symmetric,0.24002532487720848
75% dataset,7,0.9099999999999999,0.01,0.2448390720733277
75% dataset,7,0.9099999999999999,0.31,0.24845652050583125
75% dataset,7,0.9099999999999999,0.61,0.2987266849261481
75% dataset,7,0.9099999999999999,0.9099999999999999,0.32619453006775767
75% dataset,7,0.9099999999999999,symmetric,0.2504732724711123
75% dataset,7,symmetric,0.01,0.238375373022539
75% dataset,7,symmetric,0.31,0.25651358917698186
75% dataset,7,symmetric,0.61,0.26892012707062085
75% dataset,7,symmetric,0.9099999999999999,0.3638952658374387
75% dataset,7,symmetric,symmetric,0.270385628550084
75% dataset,7,asymmetric,0.01,0.24368393905205776
75% dataset,7,asymmetric,0.31,0.34483975939653666
75% dataset,7,asymmetric,0.61,0.269897934750996
75% dataset,7,asymmetric,0.9099999999999999,0.2634328218249436
75% dataset,7,asymmetric,symmetric,0.24794355733260393
75% dataset,8,0.01,0.01,0.2692665614899772
75% dataset,8,0.01,0.31,0.2692573321237976
75% dataset,8,0.01,0.61,0.3015390349874255
75% dataset,8,0.01,0.9099999999999999,0.2846645106812109
75% dataset,8,0.01,symmetric,0.24008468029326907
75% dataset,8,0.31,0.01,0.24909736542332386
75% dataset,8,0.31,0.31,0.27596182008885967
75% dataset,8,0.31,0.61,0.3132241794779633
75% dataset,8,0.31,0.9099999999999999,0.2815484785324902
75% dataset,8,0.31,symmetric,0.2250019338137617
75% dataset,8,0.61,0.01,0.24009392034567173
75% dataset,8,0.61,0.31,0.25135175884458366
75% dataset,8,0.61,0.61,0.3150704744097228
75% dataset,8,0.61,0.9099999999999999,0.32071326027154257
75% dataset,8,0.61,symmetric,0.24357032704257445
75% dataset,8,0.9099999999999999,0.01,0.24397168466506605
75% dataset,8,0.9099999999999999,0.31,0.2576645632664522
75% dataset,8,0.9099999999999999,0.61,0.2749222812016019
75% dataset,8,0.9099999999999999,0.9099999999999999,0.30864625511014526
75% dataset,8,0.9099999999999999,symmetric,0.22654735750941846
75% dataset,8,symmetric,0.01,0.24010507803695896
75% dataset,8,symmetric,0.31,0.26468623824118737
75% dataset,8,symmetric,0.61,0.3257497469882119
75% dataset,8,symmetric,0.9099999999999999,0.2853548779846295
75% dataset,8,symmetric,symmetric,0.24477011545719304
75% dataset,8,asymmetric,0.01,0.24212971536023217
