,Fic,Sen index,Sentence,Sentiment,Character A,Character B
0,8,78,"“ Sure you did , ” retorted Anathema , still grinning teasingly , “ You ’re _ so _ well known for your altruistic spirit . ” ",Positive,one,one
1,8,21,“ You want to keep your upper arm still – no moving your elbow – and keep the dumbbell parallel to the floor . ” ,Negative,one,one
2,8,82,You do n’t wan na injure yourself . ” ,Negative,one,one
3,8,85,"Crowley regarded him thoughtfully for a few moments , then said , “ Tell you what . ",Neutral,one,him
4,8,52,“ She your girlfriend ? ” ,Neutral,one,
5,8,40,Saw you come in with Ana ; thought she might appreciate not having to nurse you through a sprain for the next week . ” ,Negative,one,Ana
6,8,71,"“ What are you doing with Aziraphale , you old scoundrel ? ” ",Neutral,one,Aziraphale
7,8,41,"“ Oh , you know her ? ” ",Neutral,one,
8,8,64,So I suppose you could argue being in the gym is at least part of my job . ” ,Negative,one,
9,8,15,"“ Not like that , you ’ll hurt yourself . ” ",Negative,one,one
10,8,68,“ Ana ! ” ,Neutral,one,
11,8,19,"“ Here , let me show you . ” ",Neutral,one,
12,8,45,"She was a couple of years behind me , but ... well , you ’ve met her . ",Positive,one,
13,8,87,"Why do n’t you join me when you can , and I ’ll show you the basics . ” ",Neutral,one,one
14,8,57,"“ Oh , so you ’re an artist ? ” ",Neutral,one,
15,8,31,"You ’re a quick study , ” said the redheaded stranger encouragingly . ",Negative,one,
16,8,61,What do you do ? ” ,Neutral,one,
17,8,50,“ How do you guys know each other ? ” ,Neutral,one,
18,8,35,"“ Pleased to meet you , Crowley , ” said Aziraphale with a friendly smile . ",Neutral,one,Aziraphale
19,8,73,“ Seducing him to your wicked ways ? ,Neutral,one,
20,8,92,“ Ana should still have my number . ” ,Neutral,Ana,
21,8,39,"No , I ’m a client , same as you . ",Neutral,one,
22,8,81,“ You could use a few sessions with a personal trainer . ,Neutral,one,
23,8,36,“ Do you work here ? ” ,Neutral,one,
24,8,77,“ I selflessly interrupted my very important training regime to stop your friend here breaking his own arm off ! ” ,Positive,one,
25,8,74,"You wan na watch out for this one , Aziraphale , ” she added with a teasing wink . ",Negative,one,Aziraphale
26,8,70,“ What did I tell you about calling me by that name ? ” ,Neutral,one,
27,8,93,"He glanced at her to confirm , and she nodded . ",Neutral,He,
28,8,32,"Aziraphale realised he still had no idea who he was talking to , so he put down the dumbbell and extended a hand . ",Negative,he,he
29,8,29,"“ Thanks , ” grinned Aziraphale , and swapped the weight to his other hand , mirroring the position he ’d just been shown . ",Neutral,one,he
30,8,33,“ I ’m Aziraphale . ” ,Neutral,one,one
31,8,37,he asked . ,Neutral,he,
32,8,34,"“ Crowley , ” said the stranger , shaking his hand . ",Neutral,one,
33,8,79,"“ Oh , shut it , ” said Crowley , but he was smiling . ",Neutral,Crowley,
34,8,42,Aziraphale enquired . ,Neutral,one,
35,8,27,"Aziraphale did a few more reps , concentrating on getting the movement right . ",Neutral,Aziraphale,
36,8,38,"“ God , no , ” laughed Crowley , “ Although , maybe I should demand payment for doing their floor assistants ’ job ! ",Negative,Crowley,
37,8,76,protested Crowley . ,Neutral,Crowley,
38,8,83,"“ Yes , well ; broke student , ” shrugged Aziraphale . ",Positive,Aziraphale,
39,8,53,"“ Oh , dear me , no , ” laughed Aziraphale . ",Neutral,one,
40,8,16,"Aziraphale spun around to see who was addressing him , already blushing in embarrassment . ",Negative,Aziraphale,
41,8,91,"“ Sure , ” said Crowley with a grin . ",Neutral,Crowley,
42,8,65,"“ Bummer , ” said Aziraphale sympathetically . ",Neutral,Aziraphale,
43,8,69,"beamed Crowley , enveloping her in a hug . ",Neutral,Crowley,
44,8,18,"Unlike the peacocking body - builder types in their skin - tight training shorts and barely - there vests , the man was wearing loose - fitting sweatpants and a black t - shirt featuring some band Aziraphale had never heard of . ",Negative,one,
45,8,58,enquired Crowley . ,Neutral,Crowley,
46,8,80,"“ Seriously , though , ” he said , turning to Aziraphale . ",Neutral,Aziraphale,
47,8,47,Aziraphale had to agree . ,Neutral,Aziraphale,
48,8,51,asked Crowley . ,Neutral,one,
49,8,6,She silenced Aziraphale ’s protests with a raised hand . ,Neutral,Aziraphale,
50,8,25,Aziraphale did as he was told . ,Neutral,Aziraphale,he
51,8,89,"said Aziraphale , surprised at this virtual stranger ’s generosity . ",Positive,Aziraphale,
,Fic,Sen index,Sentence,Sentiment,Character A,Character B
0,8,119,"\ --- Walking back from the gym that evening , Aziraphale caught sight of his reflection in a darkened shop window . ",Negative,Aziraphale,his
1,8,29,The human body had always fascinated him – it was by far his favourite subject to draw – and Crowley ’s was perhaps the most perfect specimen he ’d ever seen . ,Positive,him,Crowley
2,8,59,"Aziraphale laughed at this , causing Crowley to give him a puzzled frown . ",Positive,him,Crowley
3,8,134,"“ Well , it makes me _ feel _ like an artist , ” said Aziraphale , turning around and walking out of the room before his expression betray ",Positive,Aziraphale,his
4,8,37,asked Aziraphale . ,Neutral,Aziraphale,
5,8,127,"“ I was n’t , ” explained Aziraphale . ",Neutral,Aziraphale,
6,8,67,"“ Yeah , I can totally see that : Aziraphale the angel . ",Positive,"two -

Three days later",
7,8,30,He decided that he simply _ had _ to ask Crowley to model for him . ,Negative,He,Crowley
8,8,14,"It ’s easy for you skinny types to talk , you do n’t know what it ’s like , ” sighed Aziraphale . ",Neutral,"two -

Three days later",
9,8,0,"## \ - two - Three days later , Aziraphale found himself back in the gym with Crowley . ",Neutral,Aziraphale,Crowley
10,8,23,"As if on cue , Aziraphale ’s stomach rumbled loudly , and they both burst out laughing . ",Positive,Aziraphale,
11,8,61,he demanded . ,Neutral,he,
12,8,129,She contemplated the small silver stud . ,Negative,She,
13,8,54,said Aziraphale with mock indignation . ,Negative,Aziraphale,
14,8,1,"Anathema had begged off coming , claiming a headache , so Aziraphale had come alone . ",Negative,Aziraphale,
15,8,69,"“ Oh , shut it , ” said Aziraphale , but without rancour . ",Neutral,Aziraphale,
16,8,31,Maybe just wait until they ’d known each other a bit longer ; would n’t want to creep him out . ,Negative,him,
17,8,2,"He ’d been worried that exercising with a virtual stranger would be awkward , but to his surprise they got along as if they ’d been friends for years . ",Negative,He,his
18,8,100,Said Aziraphale awkwardly . ,Negative,"two -

Three days later",
19,8,70,Aziraphale was saved from further angel - based teasing by the arrival of their food . ,Negative,Aziraphale,
20,8,130,"“ Well , I like it ” she finally decided . ",Neutral,she,
21,8,9,"Crowley looked him up and down critically for perhaps a moment longer than was comfortable , and Aziraphale blushed , looked down at the ground . ",Negative,Aziraphale,him
22,8,77,"“ Oh , I ’ve been drawing pretty much since I could hold a pencil , ” explained Aziraphale . ",Negative,Aziraphale,
23,8,131,"Aziraphale agreed , and so did his mother when he saw her that weekend . ",Neutral,Aziraphale,her
24,8,71,"He took a bite of his sizzling beef and noodles , and made a happy little sound of pure pleasure . ",Positive,He,his
25,8,41,"Aziraphale had to agree – their mutual friend tended to dress in weird Victorian - Gothic outfits , all black lace and long skirts . ",Negative,Aziraphale,"two -

Three days later"
26,8,26,"Aziraphale nodded and made a vaguely affirmative noise , trying not to stare . ",Neutral,Aziraphale,
27,8,116,"“ Sounds fantastic , ” said Aziraphale . ",Positive,Aziraphale,
28,8,94,asked Aziraphale . ,Neutral,Aziraphale,
29,8,132,"His father , on the other hand , was not as impressed . ",Negative,His,
30,8,110,responded Aziraphale . ,Neutral,"two -

Three days later",
31,8,72,"“ Food like this is why I have to go to gym , ” he complained , before taking another generous bite . ",Positive,he,
32,8,20,"“ You ’re the expert , ” said Aziraphale , not really sure what he was agreeing to , but happy to change the topic away from his body . ",Positive,Aziraphale,
33,8,133,"“ Makes you look like a poofter , ” he said gruffly , earning him a slap on the arm from his wife . ",Negative,he,his
34,8,28,"Given time and perhaps an anatomy textbook , Aziraphale was sure he could pick out every single muscle . ",Neutral,Aziraphale,he
35,8,6,Aziraphale gave him a disbelieving look . ,Neutral,Aziraphale,him
36,8,44,"Aziraphale , on the other hand , tended to tan chinos or blue jeans paired with plain light - hued button - up shirts and sweater vests or chunky jumpers . ",Neutral,Aziraphale,
37,8,115,Crowley smiled widely as he shoveled another bite of food into his mouth . ,Positive,his,he
38,8,24,"“ I ’ll take that as a yes , then , ” said Crowley , stripping off his shirt and stuffing it into his bag , grabbing a towel and a toiletry bag . ",Negative,his,his
39,8,25,"“ See you in five , ” he added as he sauntered off to the showers . ",Positive,he,he
40,8,89,"“ Closer to sixteen , I think , ” said Crowley . ",Neutral,Crowley,
41,8,97,A dark look clouded Crowley ’s features for a moment . ,Neutral,Crowley,
42,8,33,"“ So , ” said Crowley after they ’d ordered . ",Neutral,Crowley,
43,8,22,asked Crowley later when they were heading for the changerooms . ,Neutral,Crowley,
44,8,56,"said Crowley hurriedly , seeming worried hat he ’d really offended Aziraphale . ",Negative,Crowley,he
45,8,11,Proclaimed Crowley at last . ,Neutral,"two -

Three days later",
46,8,120,"Hmm , okay , maybe Crowley had a point about not looking like an artist . ",Negative,Crowley,
47,8,75,"Worth any amount of gym time , ” he grinned . ",Positive,he,
48,8,123,"Later , he would blame this train of thought for what happened when the bright lights of the tattoo parlour across the street caught his eye . ",Negative,his,he
49,8,15,"“ Maybe , ” said Crowley , sounding unconvinced . ",Neutral,Crowley,
50,8,4,asked Crowley as they were getting ready to start . ,Neutral,Crowley,
51,8,102,Crowley ’s face lit up at the question . ,Neutral,Crowley,
52,8,8,"Seeing Crowley ’s genuinely confused expression , he sighed and explained , “ You do n’t need a medical degree to tell I need to lose weight . ” ",Negative,Crowley,he
53,8,121,He frowned ; an artist was all he ’d ever thought of himself as . ,Neutral,He,"two -

Three days later"
54,8,106,Crowley ’s eyes were bright with excitement . ,Positive,Crowley,
55,8,27,Crowley ’s torso looked like something Michelangelo might have sculpted . ,Neutral,Crowley,
56,8,73,Crowley stole a sliver of beef from his plate . ,Neutral,Crowley,his
57,8,122,Was he maybe ... not enough of one ? ,Negative,he,
58,8,118,"“ Oh definitely , ” agreed Crowley ; “ I ’ll get you tickets . ” ",Positive,Crowley,
59,8,66,Crowley chuckled at this explanation . ,Neutral,Crowley,
60,8,5,"“ It will determine what types of exercises you need to do , ” he explained . ",Positive,he,
,Fic,Sen index,Sentence,Sentiment,Character A,Character B
0,8,14,“ I ’ll take that as a compliment . ” ,Positive,three,
1,8,6,"Aziraphale knew he was staring , but he could n’t bring himself to care . ",Positive,three,he
2,8,22,"“ Suits you , ” grinned Crowley . ",Neutral,three,three
3,8,44,"Aziraphale was quite happy to spend the time staring at the dancers , wishing he had a video camera and trying to memorise every detail . ",Positive,he,Aziraphale
4,8,67,“ Would you maybe be willing to sit for a drawing for me ? ” ,Neutral,three,
5,8,30,"This is Aziraphale , ” began Crowley . ",Neutral,three,three
6,8,15,"“ Oh you should , ” replied Aziraphale . ",Neutral,three,Aziraphale
7,8,60,"Only fair , since you saw me at work today . ” ",Neutral,three,
8,8,75,"“ Oh , shush , ” said Aziraphale , a bit flustered “ I ’m not inflating your ego any further , so stop fishing for compliments . ",Negative,Aziraphale,
9,8,68,Aziraphale asked nervously . ,Neutral,Aziraphale,
10,8,8,"Aziraphale had read Romeo and Juliet , of course , had even studied it in high school , but suddenly he felt like he ’d never truly understood it until now . ",Negative,Aziraphale,he
11,8,38,“ but I ’m still not gon na kill myself for you . ” ,Negative,three,three
12,8,97,"“ Drug overdose , I think ” said Crowley , picking up a syringe from the alley floor and holding it up for Aziraphale to see . ",Neutral,Aziraphale,Crowley
13,8,91,"Aziraphale did n’t even break stride – it was not such an unusual sight in this part of London – but Crowley stopped , drawing in a sharp breath . ",Negative,Aziraphale,Crowley
14,8,46,Aziraphale could n’t resist running an admiring hand over the roof . ,Neutral,Aziraphale,
15,8,16,“ You absolutely should . ” ,Positive,three,
