Fic number,Sentence number,Word,POS,IOB
0,0,Blessed/Cursed,VBN,-
0,0,RetirementLiam,NNP,ORGANIZATION
0,0,Buttersby,NNP,-
0,0,was,VBD,ORGANIZATION
0,0,",",",",-
0,0,in,IN,-
0,0,virtually,RB,-
0,0,every,DT,-
0,0,way,NN,-
0,0,",",",",-
0,0,a,DT,-
0,0,very,RB,-
0,0,normal,JJ,-
0,0,nine-year-old,JJ,-
0,0,boy.Living,NN,-
0,0,in,IN,-
0,0,a,DT,-
0,0,small,JJ,-
0,0,village,NN,-
0,0,named,VBN,-
0,0,Chesterton-Burnleigh,NNP,-
0,0,",",",",-
0,0,nestled,VBD,-
0,0,amidst,RP,-
0,0,the,DT,-
0,0,rolling,VBG,-
0,0,hills,NNS,-
0,0,of,IN,-
0,0,the,DT,-
0,0,South,NNP,LOCATION
0,0,Downs,NNP,-
0,0,",",",",LOCATION
0,0,he,PRP,-
0,0,was,VBD,-
0,0,quite,RB,-
0,0,a,DT,-
0,0,contented,JJ,-
0,0,child,NN,-
0,0,.,.,-
0,1,He,PRP,-
0,1,liked,VBD,-
0,1,model,NN,-
0,1,aeroplanes,NNS,-
0,1,",",",",-
0,1,which,WDT,-
0,1,he,PRP,-
0,1,occasionally,RB,-
0,1,built,VBD,-
0,1,with,IN,-
0,1,his,PRP$,-
0,1,father,NN,-
0,1,when,WRB,-
0,1,his,PRP$,-
0,1,father,NN,-
0,1,had,VBD,-
0,1,time,NN,-
0,1,",",",",-
0,1,which,WDT,-
0,1,was,VBD,-
0,1,not,RB,-
0,1,all,PDT,-
0,1,that,DT,-
0,1,often,RB,-
0,1,",",",",-
0,1,as,IN,-
0,1,Dr,NNP,-
0,1,Buttersby,NNP,-
0,1,was,VBD,-
0,1,a,DT,-
0,1,GP,NNP,-
0,1,",",",",-
0,1,and,CC,-
0,1,was,VBD,-
0,1,a,DT,-
0,1,very,RB,-
0,1,serious,JJ,-
0,1,man,NN,-
0,1,with,IN,-
0,1,a,DT,-
0,1,lot,NN,-
0,1,of,IN,-
0,1,work,NN,-
0,1,to,TO,-
0,1,do,VB,-
0,1,.,.,-
0,2,He,PRP,-
0,2,liked,VBD,-
0,2,painting,NN,-
0,2,",",",",-
0,2,which,WDT,-
0,2,he,PRP,-
0,2,occasionally,RB,-
0,2,did,VBD,-
0,2,with,IN,-
0,2,his,PRP$,-
0,2,mother,NN,-
0,2,when,WRB,-
0,2,she,PRP,-
0,2,had,VBD,-
0,2,time,NN,-
0,2,",",",",-
0,2,which,WDT,-
0,2,was,VBD,-
0,2,not,RB,-
0,2,at,IN,-
0,2,all,DT,-
0,2,often,RB,-
0,2,",",",",-
0,2,as,IN,-
0,2,Mrs,NNP,PERSON
0,2,Buttersby,NNP,-
0,2,painted,VBD,PERSON
0,2,for,IN,-
0,2,a,DT,-
0,2,living,NN,-
0,2,",",",",-
0,2,and,CC,-
0,2,didn,VB,-
0,2,’,JJ,-
0,2,t,NN,-
0,2,like,IN,-
0,2,having,VBG,-
0,2,Liam,NNP,PERSON
0,2,inside,IN,PERSON
0,2,her,PRP$,-
0,2,studio,NN,-
0,2,unless,IN,-
0,2,it,PRP,-
0,2,was,VBD,-
0,2,absolutely,RB,-
0,2,necessary,JJ,-
0,2,.,.,-
0,3,Mrs,NNP,-
0,3,Buttersby,NNP,-
0,3,was,VBD,-
0,3,also,RB,-
0,3,",",",",-
0,3,in,IN,-
0,3,fact,NN,-
0,3,",",",",-
0,3,a,DT,-
0,3,doctor,NN,-
0,3,–,NN,-
0,3,she,PRP,-
0,3,had,VBD,-
0,3,a,DT,-
0,3,PhD,NNP,ORGANIZATION
0,3,in,IN,ORGANIZATION
0,3,the,DT,-
0,3,History,NNP,-
0,3,of,IN,-
0,3,Art,NNP,PERSON
0,3,and,CC,PERSON
0,3,Architecture,NNP,GPE
0,3,.,.,GPE
0,4,She,PRP,-
0,4,did,VBD,-
0,4,not,RB,-
0,4,",",",",-
0,4,however,RB,-
0,4,",",",",-
0,4,use,IN,-
0,4,her,PRP$,-
0,4,title,NN,-
0,4,in,IN,-
0,4,the,DT,-
0,4,village,NN,-
0,4,",",",",-
0,4,as,IN,-
